id,item_group_id,title,description,availability,condition,price,link,image_link,brand
IT_B0BB39FT8Q_648123cb4f,IT_B0BB39FT8Q,(IT)🇮🇹意大利帽子图评,"Keyword: berretto cotone donna
Store: osvyo
remark: Need Image Review",in stock,new,0.00 EUR,https://amzn.to/4uVLGvk,https://m.media-amazon.com/images/I/71f3mZFAuFL._AC_SX466_.jpg,osvyo
IT_B0FM7V7S5Z_cfa02ac082,IT_B0FM7V7S5Z,(IT)🇮🇹意大利驱鼠器,"Keyword: Ultrasuoni per Topi
Store: HarryPotter World
remark: Need Text Review",in stock,new,0.00 EUR,https://amzn.to/3Yd06rE,https://m.media-amazon.com/images/I/71Pm2H2b0wL._AC_SX679_.jpg,HarryPotter World
IT_B0GHR1F9MK_1d3a61c5c0,IT_B0GHR1F9MK,(IT)🇮🇹意大利空气净化器,"Keyword: purificatore d'aria
Store: AN AN BEAUTY LIMITED
remark: Need Text Review",in stock,new,0.00 EUR,https://amzn.to/3PdJvDb,http://154.48.226.95:5001/image/20260503/049a0dfb688b4881b32b0396e05fbd16.png,AN AN BEAUTY LIMITED
IT_B0GL22KYHV_c3609d88c7,IT_B0GL22KYHV,(IT)🇮🇹意大利空气净化器,"Keyword: purificatore d'aria
Store: AN AN BEAUTY LIMITED
remark: Need Text Review",in stock,new,0.00 EUR,https://amzn.to/49pSKH7,http://154.48.226.95:5001/image/20260503/642878644a8d4ce2ab50e092e4e02568.png,AN AN BEAUTY LIMITED
IT_B0GN3GSLZC_faa40c6d9b,IT_B0GN3GSLZC,(IT)🇮🇹意大利空气净化器,"Keyword: purificatore d'aria
Store: AN AN BEAUTY LIMITED
remark: Need Text Review",in stock,new,0.00 EUR,https://amzn.to/4eptVhY,http://154.48.226.95:5001/image/20260503/45ef44b46d6c4072873823bbbea414fd.png,AN AN BEAUTY LIMITED
IT_B0GN3JXV5D_56c93f51e0,IT_B0GN3JXV5D,(IT)🇮🇹意大利空气净化器,"Keyword: purificatore d'aria
Store: AN AN BEAUTY LIMITED
remark: Need Text Review",in stock,new,0.00 EUR,https://amzn.to/4c9tOWe,https://m.media-amazon.com/images/I/61X38ax64VL._AC_SX522_.jpg,AN AN BEAUTY LIMITED
IT_B0GR566L61_dba966c5fb,IT_B0GR566L61,(IT)🇮🇹意大利门牌图评,"Keyword: numero civico esterno
Store: Lingy Store
remark: Need Image Review",in stock,new,0.00 EUR,https://amzn.to/3QOutnI,https://m.media-amazon.com/images/I/61NnqeBKsKL._AC_SL1500_.jpg,Lingy Store
