id,item_group_id,title,description,availability,condition,price,link,image_link,brand
ES_B0HHDTR916_c1c611e399,ES_B0HHDTR916,(ES)🇪🇸西班牙驱鼠器,"Keyword: Repelene ultrasónico 1300 pies²
Store: Apex Row
remark: Need Text Review",in stock,new,0.00 EUR,https://link.amazon/B0duynWzw,https://m.media-amazon.com/images/W/BW_MEDIAX_AVIF_MEASUREMENT_1306696-T2/images/I/612WzFClaKL._AC_SX679_.jpg,Apex Row
ES_B0HHDW2FC8_188e39a439,ES_B0HHDW2FC8,(ES)🇪🇸西班牙驱鼠器,"Keyword: Repelene ultrasónico 1300 pies²
Store: Apex Row
remark: Need Text Review",in stock,new,0.00 EUR,https://link.amazon/B0dF11aus,https://m.media-amazon.com/images/W/BW_MEDIAX_AVIF_MEASUREMENT_1306696-T2/images/I/612WzFClaKL._AC_SX679_.jpg,Apex Row
ES_B0HHF12CZL_856db278e2,ES_B0HHF12CZL,(ES)🇪🇸西班牙驱鼠器,"Keyword: Repelene ultrasónico 1300 pies²
Store: Apex Row
remark: Need Text Review",in stock,new,0.00 EUR,https://link.amazon/B078GpG5N,https://m.media-amazon.com/images/W/BW_MEDIAX_AVIF_MEASUREMENT_1306696-T2/images/I/612WzFClaKL._AC_SX679_.jpg,Apex Row
