id,item_group_id,title,description,availability,condition,price,link,image_link,brand
DE_B08TB52VKN_30273aa9bb,DE_B08TB52VKN,(DE)🇩🇪德国头巾,"Keyword: Chemo Kopftuch
Store: osvyo DE
remark: Need Text Review",in stock,new,0.00 EUR,https://www.amazon.de/osvyo-Chemo-Kopftuch-Bambus-Frauen-Haarausfall/dp/B08TB52VKN/?th=1&psc=1,https://m.media-amazon.com/images/I/61rAQ-yzdvL._AC_SX466_.jpg,osvyo DE
DE_B098JLZ2RF_6f2ecd7173,DE_B098JLZ2RF,(DE)🇩🇪德国牙刷头一星差评,"Keyword: sonicare ersatzbürsten
Store: KuiGuiUK/WanPeng-DE
remark: need 1 star bad review",in stock,new,0.00 EUR,https://amzn.to/3Z6zdpU,https://m.media-amazon.com/images/I/6121g+FQusL._AC_SY450_.jpg,KuiGuiUK/WanPeng-DE
DE_B09PVNS186_c1bd6542a6,DE_B09PVNS186,(DE)🇩🇪德国牙刷头1星差评,"Keyword: oral b aufsteckbürsten
Store: shushua
remark: need 1 star bad review",in stock,new,0.00 EUR,https://amzn.to/4ooCZVM,https://f.media-amazon.com/images/I/71xlj1VmVGL.__AC_SX300_SY300_QL70_ML2_.jpg,shushua
DE_B0B7GQ1QB8_3082743ebc,DE_B0B7GQ1QB8,"(DE)🇩🇪16er Aufsteckbürsten Kompatibel mit Oral B Elektrische Zahnbürste, 4er Precision, 4er Cross, 4er 3D Whitening und 4 Sensitive Clean","Keyword: oral b aufsteckbürsten
Store: WanErUKshop
remark: need  1 star bad review
Sold by
WanErUKshop",in stock,new,0.00 EUR,https://amzn.to/4uhjp1P,https://m.media-amazon.com/images/I/61Z7gCfBc9L._AC_SY355_.jpg,WanErUKshop
DE_B0D2CVZ13B_7ae2eefdc7,DE_B0D2CVZ13B,(DE)🇩🇪德国牙刷差评,"Keyword: sonicare ersatzbürsten
Store: WanErUKshop
remark: need 1 star bad review",in stock,new,0.00 EUR,https://amzn.to/3LVirXK,"https://m.media-amazon.com/images/I/71uf4H9h2xL._AC_SX425_PIbundle-16,TopRight,0,0_SH20_.jpg",WanErUKshop
DE_B0D3V33VCR_dd126cd65a,DE_B0D3V33VCR,(DE)🇩🇪德国牙刷负面,"Keyword: sonicare ersatzbürsten
Store: WanErUKshop
remark: need 1 star bad review",in stock,new,0.00 EUR,https://amzn.to/3ZESizy,"https://m.media-amazon.com/images/I/71lenTxA2-L._AC_SX425_PIbundle-8,TopRight,0,0_SH20_.jpg",WanErUKshop
DE_B0D3X3RH5Q_a2dda5b410,DE_B0D3X3RH5Q,(DE)🇩🇪德国牙刷头差评,"Keyword: https://amzn.to/4p58ohd
Store: Rebeool
remark: need 1 star bad review",in stock,new,0.00 EUR,https://amzn.to/4p58ohd,https://m.media-amazon.com/images/I/71B+vhY85BL._AC_SX425_.jpg,Rebeool
DE_B0D7W41CWK_197125d319,DE_B0D7W41CWK,(DE)🇩🇪德国研磨器,"Keyword: mini bong
Store: Cyt1tone
remark: Need Text Review",in stock,new,0.00 EUR,https://amzn.to/4ghjoof,https://m.media-amazon.com/images/I/61IlJgu2Y8L._AC_SL1500_.jpg,Cyt1tone
DE_B0F7PG5G9L_75541187a8,DE_B0F7PG5G9L,(DE)🇩🇪德国耳鸣喷雾,"Keyword: tinnitus
Store: haochenHaoZhou
remark: Need Text Review",in stock,new,0.00 EUR,https://amzn.to/48avH1y,https://m.media-amazon.com/images/I/61ooTCQS9DL._AC_SY450_.jpg,haochenHaoZhou
DE_B0F8PR1463_79ab261f6f,DE_B0F8PR1463,(DE)🇩🇪德国自行车换油工,"Keyword: Entlüftungsset Kit
Store: ytorgr
remark: Need Text Review",in stock,new,0.00 EUR,https://amzn.to/4vpdzem,https://m.media-amazon.com/images/I/71QULuX+qIL._AC_SL1500_.jpg,ytorgr
