id,item_group_id,title,description,availability,condition,price,link,image_link,brand
CA_B09P2YTJSH_cceffa39b3,CA_B09P2YTJSH,(CA)🇨🇦加拿大烟灰缸,"Keyword: ashtray
Store: shenzhenshixinqifanwenhuachuanboyouxiangongsi
remark: Need Text Review",in stock,new,0.00 CAD,https://www.amazon.ca/dp/B09P2YTJSH?th=1,https://m.media-amazon.com/images/I/71AraBCkoVL._AC_SX679_.jpg,shenzhenshixinqifanwenhuachuanboyouxiangongsi
CA_B0GKF6S4G6_119947ca43,CA_B0GKF6S4G6,(CA)🇨🇦加拿大负面佣金,"Keyword: https://amzn.to/3PwKGhi
Store: Qihang Office
remark: Need Text Review
Need a one-star negative review and a return.",in stock,new,0.00 CAD,https://amzn.to/3PwKGhi,https://m.media-amazon.com/images/I/51+caRwcP+L._AC_SL1200_.jpg,Qihang Office
